txn_id,account_id,txn_date,txn_type,merchant,amount_usd,currency,signed_amount_usd
9000000,10687,2025-08-04,DEBIT,CVS,346.75,USD,-346.75
9000001,11387,2025-11-04,DEBIT,Starbucks,374.23,USD,-374.23
9000002,11877,2025-08-30,DEBIT,Costco,102.7,USD,-102.7
9000003,10987,2024-01-16,DEBIT,Walmart,467.4,USD,-467.4
9000004,11200,2024-08-17,DEBIT,Netflix,263.84,USD,-263.84
9000005,11825,2024-09-23,CREDIT,Shell,47.13,USD,47.13
9000006,10143,2024-11-01,DEBIT,Target,199.14,USD,-199.14
9000007,10522,2024-01-06,CREDIT,Amazon,301.22,USD,301.22
9000008,11504,2024-04-19,CREDIT,Walmart,177.06,USD,177.06
9000009,11515,2024-05-22,DEBIT,CVS,349.9,USD,-349.9
9000010,11509,2025-10-28,CREDIT,Starbucks,441.14,USD,441.14
9000011,10658,2024-07-25,CREDIT,Costco,386.17,USD,386.17
9000012,11883,2025-03-04,CREDIT,Starbucks,321.69,USD,321.69
9000013,11948,2024-06-14,CREDIT,Amazon,256.57,USD,256.57
9000014,10484,2024-09-16,DEBIT,Amazon,127.98,USD,-127.98
9000015,10821,2025-11-15,DEBIT,Walmart,228.02,USD,-228.02
9000016,11460,2025-01-28,DEBIT,Amazon,147.18,USD,-147.18
9000017,10194,2024-04-30,CREDIT,Shell,467.08,USD,467.08
9000018,10465,2025-02-16,DEBIT,Walmart,453.75,USD,-453.75
9000019,10977,2024-05-19,DEBIT,Shell,78.76,USD,-78.76
9000020,11099,2024-06-16,CREDIT,Starbucks,411.49,USD,411.49
9000021,11183,2024-03-24,DEBIT,Amazon,351.75,USD,-351.75
9000022,10489,2025-02-24,DEBIT,Uber,487.63,USD,-487.63
9000023,10099,2025-12-06,CREDIT,Walmart,232.19,USD,232.19
9000024,10115,2024-09-24,CREDIT,Apple,361.37,USD,361.37
9000025,10379,2024-02-07,DEBIT,Starbucks,259.42,USD,-259.42
9000026,11618,2024-10-29,DEBIT,Costco,35.63,USD,-35.63
9000027,10823,2024-12-03,DEBIT,Target,24.34,USD,-24.34
9000028,10062,2024-11-25,DEBIT,Starbucks,61.93,USD,-61.93
9000029,10131,2024-07-17,DEBIT,CVS,148.8,USD,-148.8
9000030,11271,2024-01-05,DEBIT,Netflix,130.3,USD,-130.3
9000031,10394,2025-03-07,DEBIT,Costco,364.44,USD,-364.44
9000032,10642,2025-01-05,DEBIT,Target,358.25,USD,-358.25
9000033,11434,2024-04-12,DEBIT,Uber,485.73,USD,-485.73
9000034,11902,2025-03-10,CREDIT,Amazon,155.89,USD,155.89
9000035,10975,2025-10-11,CREDIT,Walmart,469.29,USD,469.29
9000036,11451,2025-01-15,DEBIT,Target,306.81,USD,-306.81
9000037,10913,2024-03-06,DEBIT,CVS,248.16,USD,-248.16
9000038,10669,2025-08-01,CREDIT,Netflix,334.25,USD,334.25
9000039,10727,2024-09-26,CREDIT,Netflix,351.67,USD,351.67
9000040,11349,2024-02-16,DEBIT,Amazon,86.79,USD,-86.79
9000041,11966,2024-12-30,CREDIT,Costco,376.11,USD,376.11
9000042,10545,2024-06-28,DEBIT,Target,362.86,USD,-362.86
9000043,10374,2024-03-08,CREDIT,Target,498.77,USD,498.77
9000044,10843,2024-04-24,CREDIT,Walmart,456.06,USD,456.06
9000045,10297,2024-01-26,CREDIT,Target,342.65,USD,342.65
9000046,11302,2025-07-12,CREDIT,Apple,356.47,USD,356.47
9000047,10995,2024-07-25,DEBIT,CVS,473.05,USD,-473.05
9000048,10295,2024-03-13,DEBIT,Uber,483.62,USD,-483.62
9000049,11550,2024-09-15,DEBIT,Walmart,413.66,USD,-413.66
9000050,10114,2025-01-20,DEBIT,Shell,383.93,USD,-383.93
9000051,11999,2024-01-30,CREDIT,Amazon,56.57,USD,56.57
9000052,10492,2025-02-24,CREDIT,CVS,415.33,USD,415.33
